district_id,district_name,school_id,school_name,address,city,state,zip,county,full_address,lon,lat
2053,Jefferson County SD 509J,5689,509J On-Line,410 SW 4th St,Madras,OR,97741,Jefferson,"410 SW 4th St Madras, OR 97741",-121.1313698,44.6295548
2147,Morrow SD 1,813,A C Houghton Elem,1105 N Main Ave,Irrigon,OR,97844,Morrow,"1105 N Main Ave Irrigon, OR 97844",-119.4873858,45.8975301
2180,Portland SD 1J,822,Abernethy Elem,2421 SE Orange Ave,Portland,OR,97214,Multnomah,"2421 SE Orange Ave Portland, OR 97214",-122.6516263,45.5058868
2048,Medford SD 549C,1350,Abraham Lincoln Elem,3101 McLoughlin Dr,Medford,OR,97504,Jackson,"3101 McLoughlin Dr Medford, OR 97504",-122.8371701,42.3629541
2087,South Lane SD 45J3,4555,Academy for Character Education,809 S 10th St,Cottage Grove,OR,97424,Lane,"809 S 10th St Cottage Grove, OR 97424",-123.0583056,43.7900163
2083,Springfield SD 19,4440,Academy of Arts and Academics,615 Main St,Springfield,OR,97477,Lane,"615 Main St Springfield, OR 97477",-123.0178915,44.0459378
1901,Corvallis SD 509J,27,Adams Elem,1615 SW 35th St,Corvallis,OR,97333,Benton,"1615 SW 35th St Corvallis, OR 97333",-123.2883883,44.5513424
2082,Eugene SD 4J,503,Adams Elem,950 W 22nd Ave,Eugene,OR,97405,Lane,"950 W 22nd Ave Eugene, OR 97405",-123.1078143,44.0350321
2063,Adel SD 21,498,Adel Elem,18286 Twenty Mile Rd,Adel,OR,97620,Lake,"18286 Twenty Mile Rd Adel, OR 97620",-119.899773,42.168768
2113,Adrian SD 61,707,Adrian Elem,207 Owyhee St.,Adrian,OR,97901,Malheur,"207 Owyhee St. Adrian, OR 97901",-117.0700689,43.7417918
2113,Adrian SD 61,708,Adrian High,305 Owyhee St,Adrian,OR,97901,Malheur,"305 Owyhee St Adrian, OR 97901",-117.0675456,43.7424183
1924,North Clackamas SD 12,5649,Adrienne C. Nelson High,14897 SE Parklane Dr,Happy Valley,OR,97015,Clackamas,"14897 SE Parklane Dr Happy Valley, OR 97015",-122.4937721,45.4155798
2083,Springfield SD 19,1353,Agnes Stewart Middle,900 S 32nd St,Springfield,OR,97478,Lane,"900 S 32nd St Springfield, OR 97478",-122.9821637,44.0372114
2108,Ontario SD 8C,694,Aiken Elem,1297 W Idaho Ave,Ontario,OR,97914,Malheur,"1297 W Idaho Ave Ontario, OR 97914",-116.9832591,44.0289401
2180,Portland SD 1J,823,Ainsworth Elem,2425 SW Vista Ave,Portland,OR,97201,Multnomah,"2425 SW Vista Ave Portland, OR 97201",-122.699551,45.5098062
2087,South Lane SD 45J3,1791,Al Kennedy High School,79980 Delight Valley School Rd,Cottage Grove,OR,97424,Lane,"79980 Delight Valley School Rd Cottage Grove, OR 97424",-123.0343312,43.833388
2180,Portland SD 1J,824,Alameda Elem,2732 NE Fremont St,Portland,OR,97212,Multnomah,"2732 NE Fremont St Portland, OR 97212",-122.6376923,45.547482
2108,Ontario SD 8C,692,Alameda Intermediate,1252 Alameda Dr,Ontario,OR,97914,Malheur,"1252 Alameda Dr Ontario, OR 97914",-116.9821941,44.0174004
2100,Greater Albany Public SD 8J,3950,Albany Options School,701 19th Avenue SE,Albany,OR,97322,Linn,"701 19th Avenue SE Albany, OR 97322",-123.0667678,44.6243772
2242,Tigard-Tualatin SD 23J,4364,Alberta Rider Elem,14850 SW 132nd Ter,Tigard,OR,97224,Washington,"14850 SW 132nd Ter Tigard, OR 97224",-122.811133,45.412023
1924,North Clackamas SD 12,3530,Alder Creek Middle,13801 SE Webster Rd,Milwaukie,OR,97267,Clackamas,"13801 SE Webster Rd Milwaukie, OR 97267",-122.5944556,45.4231854
2182,Reynolds SD 7,943,Alder Elem,17200 SE Alder St,Portland,OR,97233,Multnomah,"17200 SE Alder St Portland, OR 97233",-122.4871882,45.5172487
2187,David Douglas SD 40,980,Alice Ott Middle,12500 SE Ramona St,Portland,OR,97236,Multnomah,"12500 SE Ramona St Portland, OR 97236",-122.5347156,45.4794646
2054,Grants Pass SD 7,435,Allen Dale Elem,2320 Williams Hwy,Grants Pass,OR,97527,Josephine,"2320 Williams Hwy Grants Pass, OR 97527",-123.3485145,42.4105932
1928,Oregon City SD 62,4585,Alliance Charter Academy,16075 S Front Ave,Oregon City,OR,97045,Clackamas,"16075 S Front Ave Oregon City, OR 97045",-122.5792112,45.3736702
2180,Portland SD 1J,4507,Alliance High,1530 NE Glisan St,Portland,OR,97232,Multnomah,"1530 NE Glisan St Portland, OR 97232",-122.650227,45.526096
2243,Beaverton SD 48J,1186,Aloha High,18550 SW Kinnaman Rd,Beaverton,OR,97078,Washington,"18550 SW Kinnaman Rd Beaverton, OR 97078",-122.869022,45.484635
2243,Beaverton SD 48J,1153,Aloha-Huber Park School,5000 SW 173rd St,Beaverton,OR,97078,Washington,"5000 SW 173rd St Beaverton, OR 97078",-122.8538441,45.483953
1899,Alsea SD 7J,17,Alsea Charter School,301 S Third,Alsea,OR,97324,Benton,"301 S Third Alsea, OR 97324",-123.5944655,44.381371
1976,Bend-LaPine Administrative SD 1,1324,Amity Creek Elem,437 NW Wall St,Bend,OR,97701,Deschutes,"437 NW Wall St Bend, OR 97701",-121.317985,44.0552398
2252,Amity SD 4J,1208,Amity Elem,300 Rice Ln,Amity,OR,97101,Yamhill,"300 Rice Ln Amity, OR 97101",-123.2028727,45.122739
2252,Amity SD 4J,1210,Amity High,503 Oak St,Amity,OR,97101,Yamhill,"503 Oak St Amity, OR 97101",-123.1995557,45.1163003
2252,Amity SD 4J,1209,Amity Middle,115 Church St,Amity,OR,97101,Yamhill,"115 Church St Amity, OR 97101",-123.2062156,45.1155617
2111,Annex SD 29,705,Annex Charter School,402 Annex Rd,Ontario,OR,97914,Malheur,"402 Annex Rd Ontario, OR 97914",-116.987145,44.2376756
2254,Newberg SD 29J,1335,Antonia Crater Elem,203 W Foothills Dr,Newberg,OR,97132,Yamhill,"203 W Foothills Dr Newberg, OR 97132",-122.979616,45.3254694
2055,Three Rivers/Josephine County SD,402,Applegate Elem,14188 Hwy 238,Applegate,OR,97530,Josephine,"14188 Hwy 238 Applegate, OR 97530",-123.152531,42.253993
2089,Crow-Applegate-Lorane SD 66,589,Applegate Elem,85955 Territorial Rd,Eugene,OR,97402,Lane,"85955 Territorial Rd Eugene, OR 97402",-123.3365985,43.9903427
