school_short,school_year,student_group,ct,pct
Elementary Schools Total,2019,all,25248,100
Elementary Schools Total,2019,combined_underserved,12576,49.8
Elementary Schools Total,2019,direct_cert,5877,23.3
Elementary Schools Total,2019,lep,2466,9.8
Elementary Schools Total,2019,swd,3715,14.7
Elementary Schools Total,2019,historically_underserved,8166,32.3
Elementary Schools Total,2019,hispanic,4138,16.4
Elementary Schools Total,2019,black,2178,8.6
Elementary Schools Total,2019,multi,1507,6
District Total,2019,all,49550,100
District Total,2019,combined_underserved,24259,49
District Total,2019,direct_cert,10994,22.2
District Total,2019,lep,3570,7.2
District Total,2019,swd,7269,14.7
District Total,2019,historically_underserved,16261,32.8
District Total,2019,hispanic,8096,16.3
District Total,2019,black,4421,8.9
District Total,2019,multi,3066,6.2
Elementary Schools Total,2020,all,24988,100
Elementary Schools Total,2020,combined_underserved,12449,49.8
Elementary Schools Total,2020,direct_cert,5487,22
Elementary Schools Total,2020,lep,2656,10.6
Elementary Schools Total,2020,swd,3803,15.2
Elementary Schools Total,2020,historically_underserved,8064,32.3
Elementary Schools Total,2020,hispanic,4133,16.5
Elementary Schools Total,2020,black,2113,8.5
Elementary Schools Total,2020,multi,1492,6
District Total,2020,all,49478,100
District Total,2020,combined_underserved,24078,48.7
District Total,2020,direct_cert,10185,20.6
District Total,2020,lep,3855,7.8
District Total,2020,swd,7370,14.9
District Total,2020,historically_underserved,16206,32.8
District Total,2020,hispanic,8156,16.5
District Total,2020,black,4313,8.7
District Total,2020,multi,3074,6.2
Elementary Schools Total,2021,all,23265,100
Elementary Schools Total,2021,combined_underserved,11953,51.4
Elementary Schools Total,2021,direct_cert,5611,24.1
Elementary Schools Total,2021,lep,2615,11.2
Elementary Schools Total,2021,swd,3639,15.6
Elementary Schools Total,2021,historically_underserved,7596,32.6
Elementary Schools Total,2021,hispanic,3930,16.9
Elementary Schools Total,2021,black,1912,8.2
Elementary Schools Total,2021,multi,1447,6.2
District Total,2021,all,47314,100
