district_id,district_name,school_id,school_name,school_year,level,grade,student_group,fall_ct,fall_pct,spring_ct,spring_pct,reported_fall_ct,reported_spring_ct,fall_ct_pps,fall_pct_pps
2063,Adel SD 21,,,2019,district,all,all,8,,,,,,,
2063,Adel SD 21,,,2019,district,all,aian,2,25,,,,,,
2063,Adel SD 21,,,2019,district,all,asian,,0,,,,,,
2063,Adel SD 21,,,2019,district,all,nhpi,,0,,,,,,
2063,Adel SD 21,,,2019,district,all,black,,0,,,,,,
2063,Adel SD 21,,,2019,district,all,hispanic,,0,,,,,,
2063,Adel SD 21,,,2019,district,all,white,6,75,,,,,,
2063,Adel SD 21,,,2019,district,all,multi,,0,,,,,,
2063,Adel SD 21,,,2019,district,5,all,1,,,,,,,
2063,Adel SD 21,,,2019,district,6,all,3,,,,,,,
2063,Adel SD 21,,,2019,district,7,all,2,,,,,,,
2063,Adel SD 21,,,2019,district,8,all,2,,,,,,,
2113,Adrian SD 61,,,2019,district,all,all,295,,,,,,,
2113,Adrian SD 61,,,2019,district,all,aian,3,1,,,,,,
2113,Adrian SD 61,,,2019,district,all,asian,2,0.7,,,,,,
2113,Adrian SD 61,,,2019,district,all,nhpi,,0,,,,,,
2113,Adrian SD 61,,,2019,district,all,black,,0,,,,,,
2113,Adrian SD 61,,,2019,district,all,hispanic,57,19.3,,,,,,
2113,Adrian SD 61,,,2019,district,all,white,230,78,,,,,,
2113,Adrian SD 61,,,2019,district,all,multi,3,1,,,,,,
2113,Adrian SD 61,,,2019,district,k,all,16,,,,,,,
2113,Adrian SD 61,,,2019,district,1,all,18,,,,,,,
2113,Adrian SD 61,,,2019,district,2,all,20,,,,,,,
2113,Adrian SD 61,,,2019,district,3,all,21,,,,,,,
2113,Adrian SD 61,,,2019,district,4,all,17,,,,,,,
2113,Adrian SD 61,,,2019,district,5,all,31,,,,,,,
2113,Adrian SD 61,,,2019,district,6,all,28,,,,,,,
2113,Adrian SD 61,,,2019,district,7,all,29,,,,,,,
2113,Adrian SD 61,,,2019,district,8,all,26,,,,,,,
2113,Adrian SD 61,,,2019,district,9,all,25,,,,,,,
2113,Adrian SD 61,,,2019,district,10,all,21,,,,,,,
2113,Adrian SD 61,,,2019,district,11,all,26,,,,,,,
2113,Adrian SD 61,,,2019,district,12,all,17,,,,,,,
1899,Alsea SD 7J,,,2019,district,all,all,226,,,,,,,
1899,Alsea SD 7J,,,2019,district,all,aian,,0,,,,,,
1899,Alsea SD 7J,,,2019,district,all,asian,3,1.3,,,,,,
1899,Alsea SD 7J,,,2019,district,all,nhpi,,0,,,,,,
1899,Alsea SD 7J,,,2019,district,all,black,2,0.9,,,,,,
1899,Alsea SD 7J,,,2019,district,all,hispanic,25,11.1,,,,,,
1899,Alsea SD 7J,,,2019,district,all,white,182,80.5,,,,,,
1899,Alsea SD 7J,,,2019,district,all,multi,14,6.2,,,,,,
1899,Alsea SD 7J,,,2019,district,k,all,8,,,,,,,
1899,Alsea SD 7J,,,2019,district,1,all,12,,,,,,,
1899,Alsea SD 7J,,,2019,district,2,all,14,,,,,,,
1899,Alsea SD 7J,,,2019,district,3,all,11,,,,,,,
1899,Alsea SD 7J,,,2019,district,4,all,17,,,,,,,
1899,Alsea SD 7J,,,2019,district,5,all,23,,,,,,,
1899,Alsea SD 7J,,,2019,district,6,all,11,,,,,,,
1899,Alsea SD 7J,,,2019,district,7,all,22,,,,,,,
1899,Alsea SD 7J,,,2019,district,8,all,20,,,,,,,
1899,Alsea SD 7J,,,2019,district,9,all,13,,,,,,,
1899,Alsea SD 7J,,,2019,district,10,all,23,,,,,,,
1899,Alsea SD 7J,,,2019,district,11,all,19,,,,,,,
1899,Alsea SD 7J,,,2019,district,12,all,33,,,,,,,
2252,Amity SD 4J,,,2019,district,all,all,837,,,,,,,
2252,Amity SD 4J,,,2019,district,all,aian,10,1.2,,,,,,
2252,Amity SD 4J,,,2019,district,all,asian,10,1.2,,,,,,
2252,Amity SD 4J,,,2019,district,all,nhpi,,0,,,,,,
2252,Amity SD 4J,,,2019,district,all,black,3,0.4,,,,,,
2252,Amity SD 4J,,,2019,district,all,hispanic,112,13.4,,,,,,
2252,Amity SD 4J,,,2019,district,all,white,662,79.1,,,,,,
2252,Amity SD 4J,,,2019,district,all,multi,40,4.8,,,,,,
2252,Amity SD 4J,,,2019,district,k,all,45,,,,,,,
2252,Amity SD 4J,,,2019,district,1,all,55,,,,,,,
2252,Amity SD 4J,,,2019,district,2,all,54,,,,,,,
2252,Amity SD 4J,,,2019,district,3,all,55,,,,,,,
2252,Amity SD 4J,,,2019,district,4,all,53,,,,,,,
2252,Amity SD 4J,,,2019,district,5,all,76,,,,,,,
2252,Amity SD 4J,,,2019,district,6,all,85,,,,,,,
2252,Amity SD 4J,,,2019,district,7,all,64,,,,,,,
2252,Amity SD 4J,,,2019,district,8,all,66,,,,,,,
2252,Amity SD 4J,,,2019,district,9,all,64,,,,,,,
2252,Amity SD 4J,,,2019,district,10,all,77,,,,,,,
2252,Amity SD 4J,,,2019,district,11,all,64,,,,,,,
2252,Amity SD 4J,,,2019,district,12,all,79,,,,,,,
