school_yr,location,district_id,district_name,school_id,school_name,school_type,grade_band,virtual_status,governance,adm,total_expenditures,per_pupil_exp,fed_per_pupil_exp,state_local_per_pupil_exp,direct_classroom_expenditures,classroom_support,building_support,central_support,other_expenditures,esd_direct_support,school_expenditures,district_expenditures,general_fund,special_state_and_local_revenue_funds,special_federal_revenue_funds,special_revenue_funds,trust_and_agency_funds,internal_service_funds,enterprise_funds,esd_general_fund,esd_special_revenue_funds,esd_internal,source_file,school_year
19-20,Baker SD 5J-Baker Middle School,1894,Baker SD 5J,1,Baker Middle School,Regular,Junior High/Middle School,Supplemental Virtual,Public,265.84950495049497,2872580.1496651801,10805.286811423999,0,10805.286811423999,1504157.8764118999,708316.56866066495,361941.22998385102,84535.085264035893,213629.38934472899,98278.889225756197,2017255.05,757046.21043943102,2350370.4266140899,0,0,398672.22668214602,21089.336047164699,0,4169.2710960231097,98278.889225756197,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-Brooklyn Primary School,1894,Baker SD 5J,2,Brooklyn Primary School,Regular,Elementary,Not Virtual,Public,417.86,4427227.8466129703,10595.002744012199,0,10595.002744012199,2751452.4447668199,585722.84397754702,602068.27228404605,132871.53096263099,355112.75462192699,154473.925612619,3082835.1,1189918.8210003499,3579602.3353856802,0,0,634118.43086031603,52479.929761478001,0,6553.2249928719502,154473.925612619,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-Haines Elementary School,1894,Baker SD 5J,4,Haines Elementary School,Regular,Elementary,Not Virtual,Public,150.15,1582498.25382601,10539.448909930101,0,10539.448909930101,889600.53138979105,264497.24079674698,259999.205621139,47744.843665436201,120656.43235289901,55507.251066708501,1099416.43,427574.57275930501,1399460.5309341899,0,0,113264.581567933,11911.114177441999,0,2354.7760797389601,55507.251066708501,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-Keating Elementary School,1894,Baker SD 5J,5,Keating Elementary School,Regular,Elementary,Not Virtual,Public,26.38,307579.36696656799,11659.5666022201,0,11659.5666022201,195849.61644796899,36783.550485635598,45359.615541696097,8388.3381677935795,21198.246323472998,9752.12309783397,222706.25,75120.993868734397,280114.810253373,0,0,15206.045436976799,2092.6752714014001,0,413.71290698310901,9752.12309783397,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-South Baker Intermediate School,1894,Baker SD 5J,7,South Baker Intermediate School,Regular,Elementary,Not Virtual,Public,363.89980392156798,3391168.86803436,9318.9631637319198,0,9318.9631637319198,1855037.9686829399,625046.23776862805,497380.66923703899,115713.215105682,297990.77724006597,134525.99253680001,2220383.7799999998,1036259.09549756,2762686.35978097,0,0,453811.209057556,34438.329944445999,0,5706.9767145934602,134525.99253680001,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-Baker High School,1894,Baker SD 5J,8,Baker High School,Regular,High School,Supplemental Virtual,Public,427.54336827800398,6925937.5300962701,16199.3800956182,0,16199.3800956182,3337801.0064617698,2218253.50213627,875165.12916926504,135950.65786631501,358767.234462641,158053.66023918299,5550390.21,1217493.6598570801,5402338.6798225101,0,0,1324923.8995115,33916.202966150202,0,6705.0875569235404,158053.66023918299,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-Baker SD 5J,1894,Baker SD 5J,1894,Baker SD 5J,District,District,NA,Public,2.2599999999999998,7271.16165066128,3217.3281640094101,0,3217.3281640094101,1460.61250843109,1240.41534865566,2035.42261274576,718.63700755168702,1816.07417327707,835.47377562944598,0,6435.6878750318301,4918.2466327757002,0,0,1302.7165537364499,179.28150543469201,0,35.443183084982003,835.47377562944598,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-Eagle Cap Innovative Jr/Sr High School,1894,Baker SD 5J,3493,Eagle Cap Innovative Jr/Sr High School,Alternative,High School,Focus Virtual,Public,41.191386138613801,372562.12673834898,9044.6610726969393,0,9044.6610726969393,225654.898244988,62355.703804751698,37098.176458795097,13098.077199805,34355.271030008698,15227.5765047071,240035.92,117298.630233642,284160.495741416,0,0,69260.422829257805,3267.6343884391099,0,645.99727452879699,15227.5765047071,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-Baker Web Academy,1894,Baker SD 5J,4728,Baker Web Academy,Charter,Combined,Focus Virtual,Public,2164.0303556762601,6962395.8110885601,3217.3281640094101,0,3217.3281640094101,1398588.4097899699,1187741.8000608899,1948989.5223945701,688120.48630717001,1738955.59253595,799995.84594406304,0,6162399.9651445001,4709396.0221368102,0,0,1247397.41908303,171668.41591682,0,33938.108007828603,799995.84594406304,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Baker SD 5J-Baker Early College,1894,Baker SD 5J,4759,Baker Early College,Charter,High School,Supplemental Virtual,Public,342.54558103505099,1102081.5453210401,3217.3281640094101,0,3217.3281640094101,221383.34529539401,188008.31696019901,308506.64669684903,108922.978453576,275260.257915019,126631.79199669699,0,975449.75332434196,745452.94269815797,0,0,197451.23841753701,27173.490021223501,0,5372.0821874233998,126631.79199669699,0,0,2019-20 School Level Spending Report.xlsx,2020
