district_id,district_name,school_id,school_name,school_year,min_grade,max_grade,all_grades,grades_served,school_level
1894,Baker SD 5J,1,Baker Middle School,2019,7,8,"7, 8",7-8,MS
1894,Baker SD 5J,1,Baker Middle School,2022,7,8,"7, 8",7-8,MS
1894,Baker SD 5J,1,Baker Middle School,2023,7,8,"7, 8",7-8,MS
1894,Baker SD 5J,1,Baker Middle School,2024,7,8,"7, 8",7-8,MS
1894,Baker SD 5J,1,Baker Middle School,2025,7,8,"7, 8",7-8,MS
1894,Baker SD 5J,1,Baker Middle School,2026,7,8,"7, 8",7-8,MS
1894,Baker SD 5J,2,Brooklyn Primary School,2019,K,3,"k, 1, 2, 3",K-3,ES
1894,Baker SD 5J,2,Brooklyn Primary School,2022,1,3,"1, 2, 3",1-3,ES
1894,Baker SD 5J,2,Brooklyn Primary School,2023,1,3,"1, 2, 3",1-3,ES
1894,Baker SD 5J,2,Brooklyn Primary School,2024,1,3,"1, 2, 3",1-3,ES
1894,Baker SD 5J,2,Brooklyn Primary School,2025,1,3,"1, 2, 3",1-3,ES
1894,Baker SD 5J,2,Brooklyn Primary School,2026,1,3,"1, 2, 3",1-3,ES
1894,Baker SD 5J,3493,EAGLE CAP Innovative HS,2019,10,12,"10, 11, 12",10-12,Other
1894,Baker SD 5J,3493,Eagle Cap Innovative Jr/Sr High School,2022,7,12,"7, 8, 9, 10, 11, 12",7-12,Other
1894,Baker SD 5J,3493,Eagle Cap Innovative Jr/Sr High School,2023,7,12,"7, 8, 9, 10, 11, 12",7-12,Other
1894,Baker SD 5J,3493,Eagle Cap Innovative Jr/Sr High School,2024,8,12,"8, 9, 10, 11, 12",8-12,Other
1894,Baker SD 5J,3493,Eagle Cap Innovative Jr/Sr High School,2025,7,12,"7, 8, 9, 10, 11, 12",7-12,Other
1894,Baker SD 5J,3493,Eagle Cap Innovative Jr/Sr High School,2026,8,12,"8, 9, 10, 11, 12",8-12,Other
1894,Baker SD 5J,4,Haines Elementary School,2019,K,6,"k, 1, 2, 3, 4, 5, 6",K-6,ES
1894,Baker SD 5J,4,Haines Elementary School,2022,K,6,"k, 1, 2, 3, 4, 5, 6",K-6,ES
1894,Baker SD 5J,4,Haines Elementary School,2023,K,6,"k, 1, 2, 3, 4, 5, 6",K-6,ES
1894,Baker SD 5J,4,Haines Elementary School,2024,K,6,"k, 1, 2, 3, 4, 5, 6",K-6,ES
1894,Baker SD 5J,4,Haines Elementary School,2025,K,6,"k, 1, 2, 3, 4, 5, 6",K-6,ES
1894,Baker SD 5J,4,Haines Elementary School,2026,K,6,"k, 1, 2, 3, 4, 5, 6",K-6,ES
1894,Baker SD 5J,4728,Baker Web Academy,2019,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1894,Baker SD 5J,4728,Baker Web Academy,2022,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1894,Baker SD 5J,4728,Baker Web Academy,2023,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1894,Baker SD 5J,4728,Baker Web Academy,2024,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1894,Baker SD 5J,4728,Baker Web Academy,2025,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1894,Baker SD 5J,4728,Baker Web Academy,2026,K,12,"k, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",K-12,K-12
1894,Baker SD 5J,4759,Baker Early College,2019,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,4759,Baker Early College,2022,10,12,"10, 11, 12",10-12,Other
1894,Baker SD 5J,4759,Baker Early College,2023,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,4759,Baker Early College,2024,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,4759,Baker Early College,2025,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,4759,Baker Early College,2026,9,12,"9, 10, 11, 12",9-12,HS
1894,Baker SD 5J,5,Keating Elementary School,2019,K,6,"k, 1, 2, 3, 4, 5, 6",K-6,ES
1894,Baker SD 5J,5,Keating Elementary School,2022,K,6,"k, 1, 2, 3, 5, 6",K-6,ES
