school_name,level,school_type,ode_school_id,nces_school_id,street_address,city,zip_code,latitude,longitude,is_closure_candidate,closure_rank,is_title_i,is_urm_building,urm_retrofit_cost_usd,retrofit_cost_remaining_usd,seismic_retrofit_status,recent_boundary_change,programs,has_dli,dli_languages,has_focus_option,dli_students_2526,neighborhood_students_2526,pct_dli_2526,year_built,square_feet,construction_type_2009,functional_capacity_2021,utilization_pct_2526,enrollment_2024_25,enrollment_2025_26,enrollment_pct_change,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,ccd_enrollment_2022,pct_ela_prof_2425,pct_math_prof_2425,pct_ela_prof_2324,pct_math_prof_2324,n_ela_participants_2425,n_math_participants_2425,pct_regular_attenders_2425,pct_experienced_teachers_2425,pct_teacher_retention_2425,class_size_2425,crdc_lep_2020,crdc_idea_2020,crdc_chronic_absent_2020,pct_lep,pct_idea,teachers_fte_2021,students_per_teacher_2021,teachers_fte_2023,students_per_teacher_2023,airflow_rooms_tested,airflow_ach_e_median,airflow_pct_below_3_ach,airflow_pct_below_6_ach,airflow_filter_upgraded,counselors_fte_2021,social_workers_fte_2021,psychologists_fte_2021,nurses_fte_2021,suspensions_2021,chronic_absent_2021,enrollment_crdc_2021,frl_free_lunch,frl_reduced_lunch,frl_direct_certification,pct_free_lunch,pct_frl,pct_direct_cert,pct_ai_an,pct_asian,pct_nhpi,pct_black,pct_hispanic,pct_white,pct_multiracial,affordable_units_within_1mi,pipeline_affordable_units_within_1mi,pipeline_family_units_within_1mi,n_pipeline_projects_within_1mi,permits_units_within_1mi_since_2022,n_permits_within_1mi_since_2022,bli_forecast_units_within_catchment,prc_baseline_2024_25,enrollment_forecast_2025_26,enrollment_forecast_2026_27,enrollment_forecast_2027_28,enrollment_forecast_2028_29,enrollment_forecast_2029_30,enrollment_forecast_2030_31,enrollment_forecast_2031_32,enrollment_forecast_2032_33,enrollment_forecast_2033_34,enrollment_forecast_2034_35,enrollment_forecast_pct_change_10yr,enrollment_forecast_2034_35_low,enrollment_forecast_2034_35_high,pct_bipoc,avg_prof_2425,pct_chronic_absent_2021,suspensions_per_100_2021,support_staff_per_100,service_load,prof_residual,cluster_id,pca_x,pca_y,enrollment_pct_change_7yr,utilization_pct_2034_35,nearest_alt_school_mi,nearest_alt_school_name
Rosa Parks Elementary School,elementary,Regular School,829,411004000872,8960 N Woolsey Ave,Portland,97203,45.58786,-122.712724,true,1,true,false,,0,,,,false,,false,,,,2006,46657,Wood,594,0.2694,172,160,-0.0698,275,278,266,214,197,177,197,17.3,11.1,17,13.8,83,83,50,70,71,14.5,72,42,110,0.45,0.2625,20,10.55,17,10.41,66,2.4,0.6667,0.8636,true,1,0.5,0,0.25,15,137,211,128,0,124,0.6497,0.6497,0.6294,0,0.03125,0.0125,0.35,0.36875,0.1375,0.1,1694,0,0,0,21,21,1833.8,172,172,166,167,173,176,171,173,178,182,181,0.0523255813953488,157,221,0.8625,14.2,0.6493,7.11,0.711,1.9606,-3.65,1,6.567,-0.774,-0.4182,0.3047,1.91,James John Elementary School
Whitman Elementary School,elementary,Regular School,900,411004000949,7326 SE Flavel St,Portland,97206,45.4681,-122.5873,true,2,true,false,,6755000,,,,false,,false,,,,1954,68763,Wood,493,0.3915,198,193,-0.0253,238,220,185,152,153,180,153,31.4,21.2,40.4,29.9,88,88,63,75,78,20,35,35,68,0.1813,0.1813,13,11.46,10,18,43,3.2,0.3953,0.8837,true,1,0.5,0,0.25,33,79,149,123,0,50,0.8039,0.8039,0.3268,0.02591,0.09845,0.02591,0.11399,0.23834,0.36269,0.13472,144,0,0,0,135,130,3970.2,198,206,213,220,228,227,228,232,235,237,236,0.1919191919191919,205,288,0.63731,26.299999999999997,0.5302,22.15,1.007,1.052,-11.65,1,2.752,-0.56,-0.1891,0.4787,0.88,Kelly Elementary School
Skyline Elementary School,k8,Regular School,890,411004000938,11536 NW Skyline Blvd,Portland,97231,45.6077,-122.856472,true,3,false,false,,6077500,targeted,,,false,,false,,,,1939,37245,Wood,282,0.734,226,207,-0.0841,274,248,181,205,215,218,215,74.7,63,71.7,62,146,146,83,85,80,22,0,29,16,0,0.1401,13,15.77,12,18.17,26,0,0.9231,0.9615,false,1.5,0,0,0.25,30,68,205,21,7,13,0.0977,0.1302,0.0605,0,0.03865,0.00483,0.02415,0.1256,0.66184,0.14493,0,0,0,0,17,15,1044.5,226,229,230,222,225,225,221,217,210,211,210,-0.0707964601769911,182,256,0.33816,68.85,0.3317,14.63,0.732,0.4108,4.2,2,-1.346,-1.985,-0.2445,0.7447,6.45,Astor Elementary School
Alliance High School,alternative,Alternative School,4507,411004001652,4039 NE Alberta Ct,Portland,97211,45.5586,-122.6221,false,,false,false,,,,,,false,,false,,,,1953,32477,Wood,,,197,215,0.0914,197,213,215,167,193,193,193,,,33.3,,,,6,91,89,39,8,61,104,0.0372,0.2837,48,3.44,24,8.04,,,,,,4,3,0,0.5,34,227,165,135,0,55,0.6995,0.6995,0.285,0,0.0186,0,0.09767,0.24186,0.47907,0.16279,620,168,120,2,436,264,10111.4,,,,,,,,,,,,,,,0.52093,,1,20.61,4.242,1.0501,,,,,0.0914,,,
Odyssey Program (K-8),k8,Program,,,5037 SW Iowa St,Portland,97221,45.4804,-122.729,true,5,false,false,,,,,TAG / integrated focus,false,,true,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,126,0,0,0,222,100,6382.2,211,218,221,215,215,208,205,207,204,201,202,-0.0426540284360189,176,247,,,,,,,,,,,,,3.91,Winterhaven School
Creston Elementary School,elementary,Regular School,843,411004000886,4701 SE Bush St,Portland,97206,45.4954,-122.6147,true,4,false,true,10970000,14613750,targeted,SEGC 2023,,false,,false,,,,1948,70765,Wood,558,0.3925,246,219,-0.1098,361,375,387,249,260,238,260,66.1,67.2,64.5,54.8,122,120,77,100,75,17,34,92,44,0.1553,0.4201,15,16.6,15,15.87,54,2.1,0.7778,0.9259,true,1,0.5,0,0.25,30,100,249,202,0,40,0.7769,0.7769,0.1538,0,0.05023,0.00913,0.02283,0.15068,0.6621,0.10502,76,180,4,2,325,97,5104.2,241,226,213,228,224,222,221,220,217,206,205,-0.1493775933609958,178,250,0.3379,66.65,0.4016,12.05,0.602,1.437,1.98,2,1.23,-3.051,-0.3934,0.3674,0.8,Richmond Elementary School
Woodmere Elementary School,elementary,Regular School,903,411004000953,7900 SE Duke St,Portland,97206,45.4751,-122.5824,true,6,true,false,,13690000,,,,false,,false,,,,1954,55324,Wood,473,0.4778,241,226,-0.0622,301,273,269,253,234,248,234,27.7,21.6,28.9,25.9,120,117,57,67,85,17,64,66,81,0.2832,0.292,16,15.88,17,14.59,42,1.6,0.7619,0.9524,true,1,0.5,0,0.23,15,116,254,154,0,94,0.6581,0.6581,0.4017,0.00885,0.12389,0.00442,0.09735,0.24779,0.34513,0.17257,188,0,0,0,113,90,3431.5,242,243,236,227,227,225,219,216,219,222,219,-0.0950413223140495,190,267,0.6548700000000001,24.65,0.4567,5.91,0.591,1.5565,-11.73,1,3.606,-0.837,-0.2492,0.463,0.6,Kelly Elementary School
Arleta Elementary School,elementary,Regular School,826,411004000869,5109 SE 66th Ave,Portland,97206,45.4862,-122.5961,true,7,true,false,,12355000,targeted,,,false,,false,,,,1929,76489,LRCW,696,0.3305,252,230,-0.0873,490,525,485,270,256,274,256,47.4,47.4,51,42.6,137,135,70,85,68,20,42,94,123,0.1826,0.4087,19,14.16,16,17.12,51,,,,false,1.5,0,0,0.25,33,117,269,168,0,48,0.6562,0.6562,0.1875,0.00435,0.03043,0.00435,0.02174,0.14783,0.61739,0.17391,114,0,0,0,110,108,3849.7,252,230,212,209,207,205,215,221,225,224,223,-0.115079365079365,194,272,0.38261,47.4,0.4349,12.27,0.558,1.4832,-13.28,2,1.905,-2.593,-0.5306,0.3204,0.82,Woodstock Elementary School
Peninsula Elementary School,elementary,Regular School,879,411004000926,8125 N Emerald Ave,Portland,97217,45.5819,-122.700338,true,8,true,false,,6520000,,,,false,,false,,,,1952,70151,Wood,613,0.3899,235,239,0.017,265,265,237,201,225,234,225,50.9,36.4,57.1,36.2,109,108,66,81,83,15,14,70,51,0.0586,0.2929,19,10.42,15,15.6,48,2.95,0.5,0.9167,false,1,0.5,0,0.25,51,91,198,145,0,45,0.6444,0.6444,0.2,0.01674,0.0251,0.00418,0.12971,0.20084,0.45188,0.17155,799,184,80,4,236,131,4536.9,235,235,238,231,228,224,223,224,226,229,227,-0.0340425531914893,197,277,0.5481199999999999,43.65,0.4596,25.76,0.758,1.0202,-2.26,1,1.48,-0.5,-0.0981,0.3703,2.33,Woodlawn Elementary School
Chief Joseph Elementary School,elementary,Regular School,840,411004000883,2409 N Saratoga St,Portland,97217,45.5729,-122.6915,true,9,false,false,,4635000,targeted,,,false,,false,,,,1949,44412,Wood,499,0.495,278,247,-0.1115,358,351,305,273,261,265,261,63,55.2,61.8,55.1,127,125,83,88,83,22,25,42,42,0.1012,0.17,17,15.76,14,18.93,38,1.85,0.6316,0.7632,true,1,0.5,0,0.25,15,85,268,168,0,36,0.6437,0.6437,0.1379,0,0.00405,0.01215,0.05263,0.12955,0.68826,0.11336,340,0,0,0,254,90,5762.2,275,260,255,255,248,246,241,242,245,249,250,-0.0909090909090909,217,305,0.31174,59.1,0.3172,5.6,0.56,0.7147,-7.9,2,-0.116,-1.984,-0.3101,0.501,1.86,Woodlawn Elementary School
